"","code","license","publisher","datasetName","year","month","day","scientificName","family","FID","date","depth","mlotst","to","so","zo","prouct_type","bathy","slope","FID.1","lon","lat"
"2281",13869,"CC_BY_NC_4_0","Institute of Marine Research",NA,2002,6,23,"Physeter macrocephalus","Physeteridae",0,"2002-06-01",0,19.1999999999998,19.149,36.183,0.248,"Reanalysis",1036.15014648438,1.35397529602051,0,-722.060680959262,4364.32696393869
"2282",13872,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,7,2,"Physeter macrocephalus","Physeteridae",0,"1999-07-01",0,11.7999999999997,22.905,36.309,0.213,"Reanalysis",2755.35620117188,3.3653256893158,0,-330.732327215504,4158.25012471081
"2283",13879,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,6,6,"Physeter macrocephalus","Physeteridae",0,"2010-06-01",0,15.7999999999997,19.964,36.202,0.179,"Reanalysis",1807.9580078125,1.53003704547882,0,-427.660076734027,4202.31854255088
"2284",13882,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,21,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,17.5,22.435,36.345,0.297,"Reanalysis",1661.11889648438,0.679846167564392,0,-969.396723708942,4299.10898364391
"2285",13887,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,6,14,"Physeter macrocephalus","Physeteridae",0,"2010-06-01",0,17.3999999999996,20.16,36.248,0.148,"Reanalysis",3297.41479492188,0.65747606754303,0,-358.885552123064,4102.5892289706
"2286",13898,"CC_BY_NC_4_0","Institute of Marine Research",NA,2000,6,1,"Physeter macrocephalus","Physeteridae",0,"2000-06-01",0,15.2999999999997,19.988,36.21,0.175,"Reanalysis",1342.52954101562,1.76283979415894,0,-387.315168769894,4242.94802398357
"2287",13899,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,7,1,"Physeter macrocephalus","Physeteridae",0,"1999-07-01",0,11.5,22.735,36.246,0.241,"Reanalysis",1342.52954101562,1.76283979415894,0,-386.189664875318,4245.07899725033
"2288",13904,"CC_BY_NC_4_0","Institute of Marine Research",NA,2000,6,21,"Physeter macrocephalus","Physeteridae",0,"2000-06-01",0,15.2999999999997,20.408,36.159,0.209,"Reanalysis",985.61328125,1.10038530826569,0,-631.222336107349,4373.52050487252
"2289",13924,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,5,23,"Physeter macrocephalus","Physeteridae",0,"2010-05-01",0,25.0999999999999,17.204,36.083,0.197,"Reanalysis",1863.63293457031,0.706290483474731,0,-742.028385559945,4380.05230817819
"2290",13925,"CC_BY_NC_4_0","Institute of Marine Research",NA,2000,6,5,"Physeter macrocephalus","Physeteridae",0,"2000-06-01",0,14.1999999999998,20.437,36.266,0.197,"Reanalysis",1745.34643554688,0.488003611564636,0,-405.607112645231,4173.93662833687
"2291",13926,"CC_BY_NC_4_0","Institute of Marine Research",NA,2000,6,6,"Physeter macrocephalus","Physeteridae",0,"2000-06-01",0,14.5,19.772,36.165,0.185,"Reanalysis",1654.99865722656,1.09335517883301,0,-508.31721745447,4313.69762584946
"2292",13931,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,9,9,"Physeter macrocephalus","Physeteridae",0,"2010-09-01",0,19.3999999999996,22.701,36.075,0.226,"Reanalysis",1357.15051269531,2.1105580329895,0,-465.699432958867,4260.93587159648
"2293",13933,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,6,5,"Physeter macrocephalus","Physeteridae",0,"2010-06-01",0,16,19.227,36.068,0.256,"Reanalysis",1040.07702636719,0.31279119849205,0,-638.208431175802,4374.53404590854
"2294",13935,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,9,7,"Physeter macrocephalus","Physeteridae",0,"2010-09-01",0,23.2999999999997,22.633,36.121,0.331,"Reanalysis",1089.95190429688,1.58661651611328,0,-673.615991996827,4328.42678933405
"2295",13938,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,5,21,"Physeter macrocephalus","Physeteridae",0,"2010-05-01",0,27.6999999999998,17.391,36.086,0.137,"Reanalysis",1129.24645996094,1.98131465911865,0,-407.115297664282,4249.64595976804
"2296",13956,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,30,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,16.2999999999997,20.445,36.244,0.22,"Reanalysis",2050.27221679688,1.1970009803772,0,-342.505977601425,4219.05256313031
"2297",13957,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,30,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,17.3999999999996,20.216,36.231,0.234,"Reanalysis",2058.8115234375,1.60399973392487,0,-385.076641889027,4222.42159232815
"2298",13967,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,9,20,"Physeter macrocephalus","Physeteridae",0,"2010-09-01",0,28.8999999999996,22.781,36.129,0.22,"Reanalysis",1353.18176269531,1.8690892457962,0,-393.370035945515,4244.73875274587
"2299",13979,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,21,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,18.3999999999996,20.075,36.155,0.211,"Reanalysis",1787.43115234375,0.0580593384802341,0,-666.921058699442,4420.98617221912
"2300",14000,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,20,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,17.5999999999999,19.996,36.2,0.23,"Reanalysis",1815.767578125,1.72179532051086,0,-442.118871156461,4263.8016278141
"2301",14005,"CC_BY_NC_4_0","Institute of Marine Research",NA,2004,7,11,"Physeter macrocephalus","Physeteridae",0,"2004-07-01",0,16.6999999999998,22.567,36.224,0.303,"Reanalysis",1790.76062011719,0.446492165327072,0,-659.08897833427,4317.17468873362
"2302",14007,"CC_BY_NC_4_0","Institute of Marine Research",NA,2010,9,25,"Physeter macrocephalus","Physeteridae",0,"2010-09-01",0,28.8999999999996,22.781,36.129,0.22,"Reanalysis",1353.18176269531,1.8690892457962,0,-396.776579020315,4246.24155748465
"2303",14011,"CC_BY_NC_4_0","Institute of Marine Research",NA,2000,6,19,"Physeter macrocephalus","Physeteridae",0,"2000-06-01",0,14.8999999999996,20.098,36.213,0.168,"Reanalysis",1129.24645996094,1.98131465911865,0,-410.268409449862,4253.38299080955
